,pos,mid,neg
0,방긋,아직,회의
1,상회,보통,바닥
2,신선,vs,이탈
3,신박,중립,떨어지
4,투혼,관망,안좋게
5,시장확대,지켜봐야,흑우
6,친절,그닥,낙폭
7,효과적,심심,미달
8,예방,딜레마,결별
9,선출,유감,파국
10,퍼펙트,희비,때리기
11,협력,,쓸애기
12,열애,,탈세
13,번다,,패닉
14,윤리적,,하차
15,고민해결,,떨어
16,호황,,곡소리
17,우승자,,위협
18,수있다,,피눈물
19,우승,,털린
20,기대,,악재
21,축하,,안정
22,상승,,고질적
23,ESG,,폭낙
24,폭등,,약세
25,맞손,,적자
26,보호,,몸살
27,상한가,,빠진
28,이말올,,불행
29,신종,,불안
30,당첨,,병맛
31,개시,,하향
32,리뉴얼,,횡포
33,유망주,,호구
34,판매 부각,,사기
35,가치주,,약발
36,안전,,전쟁
37,친환경적,,해지
38,환호,,향방
39,자신감,,날벼락
40,폭소,,불명예
41,승인,,보릿고개
42,착수,,뇌물
43,높아,,수급난
44,웃은,,추락
45,수혜,,사태
46,뚫었,,울었다
47,실용적,,빚투
48,기능강화,,이중고
49,사랑,,허와실
50,성공,,실업
51,호감,,주의
52,우호,,폭망
53,성료,,안했
54,개선,,명암
55,껑충,,처분
56,기부,,사고
57,어메이징,,ㅈ같은
58,호실적,,객관성
59,웃는,,약진
60,상위권,,불건전
61,짭짤,,쳐맞
62,대어,,관리종목 지정
63,회복,,개장치사
64,확보,,난감
65,소망,,스레기
66,상승장,,깨져
67,오르,,정지
68,이익,,탈락
69,합병,,병신
70,뛰는,,감소
71,좋은책,,배신
72,만회,,잣같은
73,기레기,,부진
74,결합할인,,과실
75,강추,,흔들
76,파이팅,,필패
77,선방,,항의
78,위생적,,끊어
79,불어,,개잡주
80,빵터진,,차질
81,오픈,,얼어붙은
82,금리 인하,,부담
83,단독선두,,불편
84,수상작,,저점
85,엄단,,손해
86,가입비 면제,,대피
87,좋네,,역차별
88,확장,,혼조
89,대단,,후회
90,창설,,물렸
91,무료,,침해
92,넘겨,,적신호
93,기분전환,,허술
94,웃고,,인플레
95,육감적,,짜증
96,고마워,,감옥
97,낭만적,,실패
98,가능,,신중
99,정밀,,혼란
100,대만족,,빨간불
101,큰장,,좌절
102,감사인사,,거지
103,특별,,어려워
104,권장,,빼다
105,깨끗,,유가상승
106,국민주,,불량
107,비용절감,,급락
108,우위,,멸망
109,매력,,위기
110,소신발언,,빵점
111,정복,,무너
112,적격,,손실
113,적정,,쓰레기
114,청신호,,전범
115,규제 완화,,빠져나
116,체결,,아래로
117,기적,,불만
118,탄생,,장애
119,파격적,,철수
120,혁신적,,화재
121,시원,,능욕
122,시청률 상승,,금리 인상
123,완벽,,못쓰는
124,최고,,안한
125,저가매수,,먹튀
126,최선,,외면
127,신고가,,멘붕
128,레벨업,,하한가
129,아름다,,분식회계
130,만장일치,,금리인상
131,대박,,징하다
132,체계적,,숨고르기
133,출원,,곤두박질
134,신기록,,나쁜
135,양전,,거품
136,급부상,,좃같은
137,행복,,긴축
138,흑자,,뺏겼
139,증가,,더럽다
140,득탬,,횡령
141,고공행진,,패배
142,모면,,결렬
143,상승세,,폐지
144,출시,,불매
145,행운,,매도
146,반값할인,,겁쟁이
147,바람직,,피해
148,진리,,훼손
149,해피,,허와 실
150,경신,,적어
151,침착,,빼라
152,호평,,폭락
153,창의적,,무너져
154,볕든다,,개발
155,시너지,,차단
156,응원,,검은 월요일
157,고쳐,,울고
158,강세,,파산
159,세계 최고,,텃네
160,기립박수,,실수
161,활성화,,VS
162,웃음,,가짜
163,적극,,저조
164,진심,,죄송
165,오른,,소송
166,유명세,,뒤쳐
167,즐거움,,먹구름
168,진행,,악제
169,애정,,루머
170,다각화,,시무룩
171,도약,,충동
172,희망,,허위
173,함박웃음,,반대
174,자랑,,답답
175,쩐다,,틀려
176,긍정적,,생산 중단
177,정상적,,상폐
178,믿음,,악의
179,확대,,불가
180,공정,,최저
181,보람,,찌라시
182,스페셜,,불법
183,호조,,머저리
184,채택,,넘겟
185,안정적,,논란
186,재미,,손절
187,과학적,,절망
188,획기적,,더러워
189,돕고,,중단
190,최고 서비스,,쓰래기
191,짭잘,,몰락
192,우수,,가로막
193,개방적,,비난
194,소중,,균열
195,호재,,망신
196,급등,,결여
197,기회,,고평가
198,눈호강,,충격
199,친환경,,긴장
200,주목,,눈물
201,가격인하,,부정
202,생기,,떠나는
203,매력적,,바보
204,성실,,나빠
205,질주,,악법
206,적당,,처맞
207,추진,,악화
208,떡상,,내림세
209,원조,,소극적
210,훈풍후끈,,버블
211,재밌,,범죄
212,청약,,굴욕
213,승진,,고민
214,진출,,고충
215,올랐,,당황
216,존중,,분노
217,청력,,부작용
218,도움,,제한
219,1등급,,위태
220,신재생,,위험
221,투자,,폐쇄
222,조직적,,공격
223,글래머,,비판
224,만전,,공포
225,기대감,,하회
226,낫네,,떡락
227,잘먹,,환율 오르
228,매력발산,,설상가상
229,기능 추가,,후유증
230,도전,,이기적
231,증자,,폭탄
232,매진,,체포
233,고도화,,편법
234,돌진,,달성
235,낙관,,몰수
236,반등,,뺀
237,노력,,저평가
238,합리적,,유죄
239,시간단축,,꼴찌
240,완승,,치워
241,완화,,과부하
242,현금화,,경고
243,인기,,유출
244,럭셔리,,최악
245,최고 인기,,침체
246,선정,,분식 회계
247,고무적,,참사
248,트랜디,,긴급
249,저렴,,수렁
250,흥행돌풍,,의혹
251,저가,,안갯속
252,성공적,,한심
253,자유,,종말
254,가치창출,,탄식
255,공개,,오해
256,발행,,하락
257,아름다움,,짝퉁
258,부각,,쇼크
259,환상적,,개돼지
260,감탄,,갈등
261,신개념,,개살구
262,해소,,통곡
263,성장,,생산중단
264,칭찬,,붕괴
265,열풍,,반발
266,정성,,구속
267,으뜸,,경쟁심화
268,포옹,,금지
269,반전,,비상
270,알뜰,,위축
271,국내 최초,,유가 상승
272,최대,,조작
273,화색,,추풍낙엽
274,축포,,아픔
275,몰고,,악영향
276,만족,,문제
277,시장선점,,사의
278,독자적,,떨구
279,이벤트,,실형
280,협약,,짐꾼
281,신규,,퇴출
282,지지,,부실
283,넘궈,,음전
284,활약,,날조
285,1위,,조정
286,감각적,,혐의
287,추천,,억울
288,추모,,깨졌다
289,허가,,주저
290,보상,,배임
291,국제적,,압수
292,무상지원,,뿔난
293,공감,,우려
294,다양,,출렁
295,줍줍,,
296,열광,,
297,수주,,
298,정상,,
299,탈환,,
300,취득,,
301,인수,,
302,존경,,
303,편한,,
304,올킬,,
305,상위,,
306,루머해명,,
307,최고가,,
308,베스트,,
309,대박행진,,
310,수익,,
311,신설,,
312,아름답,,
313,유리,,
314,돌파,,
315,상향조정,,
316,톱5,,
317,우량주,,
318,극찬,,
319,성공사례,,
320,배당,,
321,시작,,
322,건강,,
323,프리미엄,,
324,상장,,
325,역동적,,
326,대장주,,
327,흥행,,
